id,name,start_ns,end_ns
1,boot_gate,0,160
2,entry_edit_unlock_close,160,490
3,user_cancel_failure_history,490,960
4,user_timeout,960,11070
5,user_boundary_activity,11070,21220
6,admin_edit_cancel,21220,21430
7,admin_timeout,21430,31540
8,save_success_new_password,31540,31960
9,save_failure_flash_priority,31960,32330
10,first_three_failures,32410,33400
11,fourth_failure_alarm_block,33400,33740
12,alarm_clear_retry_success,33740,34230
13,open_admin_save,34230,34470
14,open_timeout,34470,54660
15,open_deadline_priority,54660,74990
16,wait_event_priority,74990,75180
17,temp_regenerate_priority,75180,75510
18,temp_confirm_exit,75510,75620
19,temp_cancel_exit,75620,75730
20,temp_timeout,75730,85820
21,temp_replacement_valid_gate,85820,86810
22,reset_from_0,86940,87090
23,reset_from_1,87190,87340
24,reset_from_2,87440,87590
25,reset_from_3,87790,87940
26,reset_from_4,88140,88290
27,reset_from_5,88390,88540
28,reset_from_6,88740,88890
29,reset_from_7,89990,90140
30,reset_from_8,90240,90390
31,illegal_state_recovery,90390,90510
