time_ns,scenario,from,to,error_count,save_request,capture_start
106,1,0,1,0,0,0
206,2,1,2,0,0,0
426,2,2,4,0,0,0
446,2,4,1,0,0,0
536,3,1,2,0,0,0
636,3,2,3,1,0,0
836,3,3,2,1,0,0
876,3,2,1,1,0,0
896,3,1,2,1,0,0
916,3,2,1,1,0,0
1006,4,1,2,1,0,0
11026,4,2,1,1,0,0
11116,5,1,2,1,0,0
21176,5,2,1,1,0,0
21266,6,1,5,1,0,0
21386,6,5,1,1,0,0
21476,7,1,5,1,0,0
31496,7,5,1,1,0,0
31586,8,1,5,1,0,0
31686,8,5,6,1,1,0
31776,8,6,1,1,0,0
31796,8,1,2,1,0,0
31896,8,2,4,0,0,0
31916,8,4,1,0,0,0
32006,9,1,5,0,0,0
32106,9,5,6,0,1,0
32126,9,6,1,0,0,0
32146,9,1,2,0,0,0
32266,9,2,4,0,0,0
32286,9,4,1,0,0,0
32396,9,0,1,0,0,0
32456,10,1,2,0,0,0
32556,10,2,3,1,0,0
32756,10,3,2,1,0,0
32856,10,2,3,2,0,0
33056,10,3,2,2,0,0
33156,10,2,3,3,0,0
33356,10,3,2,3,0,0
33526,11,2,7,4,0,1
33786,12,7,2,0,0,0
33886,12,2,3,1,0,0
34086,12,3,2,1,0,0
34186,12,2,4,0,0,0
34276,13,4,5,0,0,0
34376,13,5,6,0,1,0
34426,13,6,1,0,0,0
34516,14,1,2,0,0,0
34616,14,2,4,0,0,0
54616,14,4,1,0,0,0
54706,15,1,2,0,0,0
54806,15,2,4,0,0,0
74806,15,4,1,0,0,0
74826,15,1,2,0,0,0
74926,15,2,4,0,0,0
74946,15,4,1,0,0,0
75036,16,1,8,0,0,0
75056,16,8,1,0,0,0
75076,16,1,5,0,0,0
75096,16,5,1,0,0,0
75116,16,1,2,0,0,0
75136,16,2,1,0,0,0
75226,17,1,8,0,0,0
75346,17,8,2,0,0,0
75446,17,2,4,0,0,0
75466,17,4,1,0,0,0
75556,18,1,8,0,0,0
75576,18,8,1,0,0,0
75666,19,1,8,0,0,0
75686,19,8,1,0,0,0
75776,20,1,8,0,0,0
85776,20,8,1,0,0,0
85866,21,1,8,0,0,0
85906,21,8,2,0,0,0
86006,21,2,3,1,0,0
86206,21,3,2,1,0,0
86306,21,2,4,0,0,0
86326,21,4,1,0,0,0
86346,21,1,2,0,0,0
86446,21,2,3,1,0,0
86646,21,3,2,1,0,0
86746,21,2,4,0,0,0
86766,21,4,1,0,0,0
86876,21,0,1,0,0,0
87036,22,0,1,0,0,0
87156,22,0,1,0,0,0
87286,23,0,1,0,0,0
87406,23,0,1,0,0,0
87436,23,1,2,0,0,0
87536,24,0,1,0,0,0
87656,24,0,1,0,0,0
87686,24,1,2,0,0,0
87786,24,2,3,1,0,0
87886,25,0,1,0,0,0
88006,25,0,1,0,0,0
88036,25,1,2,0,0,0
88136,25,2,4,0,0,0
88236,26,0,1,0,0,0
88356,26,0,1,0,0,0
88386,26,1,5,0,0,0
88486,27,0,1,0,0,0
88606,27,0,1,0,0,0
88636,27,1,5,0,0,0
88736,27,5,6,0,1,0
88836,28,0,1,0,0,0
88956,28,0,1,0,0,0
88986,28,1,2,0,0,0
89086,28,2,3,1,0,0
89286,28,3,2,1,0,0
89386,28,2,3,2,0,0
89586,28,3,2,2,0,0
89686,28,2,3,3,0,0
89886,28,3,2,3,0,0
89986,28,2,7,4,0,1
90086,29,0,1,0,0,0
90206,29,0,1,0,0,0
90236,29,1,8,0,0,0
90336,30,0,1,0,0,0
90456,31,0,1,0,0,0
